County,2013,2014,2015,2016,2017
Alamance ,3.31,3.25,3.48,3.93,3.47
Alexander ,2.49,2.82,2.79,3.13,2.85
Alleghany ,2.97,2.54,2.58,4.28,2.42
Anson ,4.06,1.96,3.75,4.57,4.49
Ashe ,2.48,2.86,3.93,2.14,1.67
Avery ,1.23,2.01,1.35,1.07,1.43
Beaufort ,2.05,2.24,2.59,3.05,3.18
Bertie ,3.12,2.99,2.06,3.28,2.11
Bladen ,4.22,4.62,3.97,1.48,2.92
Brunswick ,3.09,3.2,3.82,3.28,2.48
Buncombe ,2.84,2.75,2.31,2.23,2.44
Burke   ,1.53,0.79,2.02,2.24,2.06
Cabarrus ,1.95,1.71,1.78,1.78,2.35
Caldwell ,1.93,1.6,1.7,1.23,1.82
Camden ,1.34,1.96,2.84,3.05,1.78
Carteret ,1.59,2.29,3.3,1.84,2.54
Caswell ,2.97,0.75,4.46,1.88,1.28
Catawba ,1.66,1.81,2.01,1.91,1.45
Chatham ,2.23,1.88,2.11,1.52,1.55
Cherokee ,0.92,1.02,1.44,1.95,1.12
Chowan  ,3.79,3.08,2.66,3.63,1.77
Clay ,1.52,2.89,2.05,0.8,0.51
Cleveland ,2.67,2.69,2.35,2.22,2.12
Columbus  ,2.65,2.59,1.97,1.81,1.75
Craven ,2.33,2.56,2.27,2.47,2.15
Cumberland ,1.64,2.22,2.07,2.55,2.31
Currituck ,1.84,2.1,1.13,1.89,1.72
Dare ,0.68,1.21,1.29,1.28,1.73
Davidson ,2.25,2.79,2.62,2.27,2.22
Davie ,2.86,2.49,3.4,3.01,3.2
Duplin ,2.18,2.2,2.19,2.34,2.82
Durham ,3.21,2.88,2.67,3.06,4.21
Edgecombe ,4.04,2.88,4.33,3.96,3.23
Forsyth ,2.72,2.28,2.84,2.39,2.52
Franklin ,4.31,3,4.71,3.65,3.23
Gaston ,1.61,1.84,2.02,2.29,2.21
Gates ,1.69,2.86,2.53,1.89,0.96
Graham ,3.1,4.07,1.09,3.23,1.56
Granville ,3.46,3.45,3.23,2.75,2.78
Greene ,1.81,1.46,1.31,1.84,0.81
Guilford  ,2.07,1.97,2.2,2.04,1.87
Halifax ,3.11,3.1,4.75,3.78,3.73
Harnett  ,3.85,3.47,3.46,4,2.53
Haywood ,1.48,1.96,3.43,2.11,2.46
Henderson ,1.52,1.75,1.37,1.72,1.89
Hertford ,2.43,1.11,3.22,2.66,3.61
Hoke ,2.32,2.26,2.22,1.77,1.76
Hyde ,2.34,0,0.61,3.14,2.2
Iredell,1.68,1.76,2.36,2.66,2.41
Jackson ,1.73,2.19,3.25,2.81,1.54
Johnston ,1.95,1.82,1.99,1.67,1.38
Jones ,5.11,1.35,1.48,0.32,0.3
Lee ,3.14,2.94,2.35,2.74,2.93
Lenoir ,3.01,2.06,4.71,2.71,2.76
Lincoln ,2.46,1.64,2.71,2.09,2.36
Macon ,0.9,0.9,1.03,1.69,1.52
Madison ,2.35,2.39,4.03,1.79,2.75
Martin ,3.67,3.12,2.86,3.94,5.28
McDowell ,4.24,3.55,4.2,3.47,2.71
Mecklenburg  ,3.02,2.31,2.33,2.4,2.2
Mitchell ,3.61,3.16,2.68,2.83,3
Montgomery   ,2.21,2.36,1.73,2.31,2.04
Moore ,2.73,0.97,1.36,1.91,2.23
Nash,3.79,3.76,2.94,3.02,3.06
New Hanover ,2.29,2.88,2.82,1.65,1.48
Northampton ,2.17,3.26,2.42,3.3,1.87
Onslow ,2.32,1.44,1.68,1.81,2.2
Orange ,2.28,2.27,2.04,2.21,1.95
Pamlico ,2.78,2.82,3.26,1.75,0.68
Pasquotank ,1.37,1.03,1.24,1.23,1.62
Pender ,1.95,2.48,1.84,1.5,1.85
Perquimans ,2.08,1.34,2.25,2.75,2.58
Person ,4.19,3.89,5.2,3.49,2.76
Pitt ,2.78,2.13,2.67,2.01,2.1
Polk ,2.32,2.55,2.01,1.53,1.39
Randolph ,2.41,1.82,1.82,1.61,1.58
Richmond  ,2.47,3.27,3.03,3.27,3.58
Robeson ,2.34,2.92,2.22,1.71,2.38
Rockingham ,3.89,3.8,3.67,3.22,2.16
Rowan,1.17,1.44,2.52,3.1,3.31
Rutherford ,4.52,3.4,3.16,3.67,3.46
Sampson ,3.25,3.34,4,2.26,3.84
Scotland ,4.22,4.18,4.98,2.5,1.6
Stanly ,4.04,3.19,2.79,2.97,1.64
Stokes ,1.9,1.81,3,2.87,3.64
Surry ,2.75,2.03,2.03,2.05,2.16
Swain ,3.04,4.92,4.52,3.07,4.95
Transylvania ,1.97,3.37,3.13,1.83,0.7
Tyrrell ,2.1,0,2.34,1.23,1.14
Union ,1.38,1.1,0.99,1.08,1.37
Vance ,4.67,3.82,3.22,2.92,2.97
Wake ,1.95,2.22,2.15,1.69,2.76
Warren ,4.1,4.87,5.43,3.91,4.58
Washington ,2.91,0.2,1.08,2.47,3
Watauga ,2.6,2.13,1.66,1.67,1.22
Wayne  ,4,2.86,2.67,2.64,2.72
Wilkes ,2.22,1.71,2.68,2.5,2.59
Wilson  ,3.43,2.45,3.1,3.83,3.6
Yadkin ,2.15,1.07,1.17,1.74,0.91
Yancey ,1.6,1.45,1.61,1.54,1.11