County,2012,2013,2014,2015,2016,2017
Alamance,41519,41371,41394,43001,41300,41600
Alexander,40441,39812,39655,46064,43000,41100
Alleghany,32210,32673,34046,37086,35300,36100
Anson,32268,32341,32339,33443,32500,35300
Ashe,31965,34333,34080,35155,36500,35200
Avery,35568,36071,34727,34933,37100,37100
Beaufort,38194,38248,38256,39043,40400,41700
Bertie,30586,29615,30414,31610,31200,32000
Bladen,31637,33138,32766,33971,33500,33900
Brunswick,44186,42685,48624,47799,47400,48800
Buncombe,42846,41551,43146,45738,47300,45100
Burke,38541,37719,38581,36150,39300,42700
Cabarrus,49355,50298,55531,55046,55300,57900
Caldwell,36860,34876,35127,34811,38700,39600
Camden,59522,57113,53563,60537,61700,62000
Carteret,43356,45507,48930,46227,48800,50800
Caswell,37115,38495,39615,37122,42700,40500
Catawba,41782,44339,42080,43777,45100,41700
Chatham,53958,53564,55371,56981,56800,58900
Cherokee,32963,32913,31370,34476,34600,38300
Chowan,36176,36231,37458,39143,38900,40800
Clay,35314,35143,36871,37078,37100,39000
Cleveland,38392,37390,38265,40528,39400,40200
Columbus,32518,31282,33765,35026,34300,34500
Craven,41791,47291,47087,45022,44000,47800
Cumberland,43356,43863,45110,44038,42600,42400
Currituck,53939,55665,54822,57577,58000,66400
Dare,50203,50393,51900,52083,54600,53600
Davidson,40618,41631,43824,40424,43300,46400
Davie,46957,50110,49984,49708,47600,52500
Duplin,34672,35587,36075,38106,34100,38400
Durham,48023,47007,50889,52331,50700,53900
Edgecombe,33146,32901,32002,33080,31600,32500
Forsyth,44443,43804,43049,46163,45900,47300
Franklin,45592,42269,42346,39312,48200,48000
Gaston,40332,40969,41614,42461,42100,45000
Gates,43010,41437,44273,48194,48400,46400
Graham,31863,33041,32883,33553,33800,33800
Granville,45828,48596,46303,48680,49300,50300
Greene,38428,35013,35050,39481,37300,35100
Guilford,42415,44229,43299,46093,44800,48300
Halifax,30861,31084,31253,32597,31700,32000
Harnett,40956,40617,44998,45257,45400,48300
Haywood,39987,40114,40022,39320,42800,43600
Henderson,43589,46165,45168,44561,47300,47300
Hertford,32410,31581,31861,33616,30100,34500
Hoke,43679,42908,44717,43987,44200,42800
Hyde,35206,35810,35301,36681,36900,37100
Iredell,46576,49902,49666,49983,54000,55800
Jackson,36741,37388,37049,40511,38100,41500
Johnston,46922,48380,48773,50904,50100,52700
Jones,38578,38230,35159,39602,38900,39700
Lee,41999,41506,43424,48061,46100,44300
Lenoir,36455,32602,35634,34127,36000,37100
Lincoln,45332,50746,47799,50537,49700,49300
Macon,36229,36953,36438,37219,37900,41400
Madison,36158,36724,37644,37479,38400,37900
Martin,34814,33305,33159,34761,35900,36500
McDowell,34383,35627,36584,36840,37900,37400
Mecklenburg,52363,52111,55392,54657,59000,57000
Mitchell,35032,35322,36210,38303,36800,40000
Montgomery,34608,30684,35272,35613,38500,39100
Moore,47705,47301,49670,50169,51700,52100
Nash,42315,43151,40937,41575,43300,43500
New Hanover,46129,45890,50890,48651,49900,52500
Northampton,32168,31668,31217,31732,32100,33300
Onslow,41969,45434,44263,45213,47200,46100
Orange,51434,56792,53026,59472,60300,61600
Pamlico,41442,41325,41004,43517,43100,41000
Pasquotank,39381,40261,43935,40094,44600,42200
Pender,43573,44171,43318,44949,45500,49400
Perquimans,40772,39112,42494,42504,41300,42300
Person,42621,42303,42546,42091,45800,43900
Pitt,39519,39713,39343,40940,41800,41900
Polk,44756,41851,41719,43665,45500,45700
Randolph,39648,40749,41815,40896,41800,43200
Richmond,31568,32932,30726,32825,34700,33000
Robeson,30627,30931,29965,30248,30400,32100
Rockingham,38063,36746,37577,40446,39600,40100
Rowan,38658,40267,40400,41475,45000,44900
Rutherford,35057,35208,34193,35544,35600,37000
Sampson,37047,36471,37420,35890,33900,40700
Scotland,31805,32999,31704,32314,32800,35400
Stanly,42854,38301,42816,42801,41900,44900
Stokes,43178,42147,42272,44552,45100,42900
Surry,36622,35269,36934,36221,37900,38400
Swain,36109,36167,36280,34552,34800,36100
Transylvania,40652,41578,40642,40578,44500,45800
Tyrrell,31732,33430,30728,32642,32800,33800
Union,64486,61515,61260,63912,64400,71700
Vance,34000,33377,34371,35565,33600,32700
Wake,61594,62436,64107,65433,67000,70600
Warren,32574,33218,33068,33767,33900,34100
Washington,33293,33278,32545,31596,32900,35100
Watauga,38923,39168,38563,38380,41900,41800
Wayne,40274,39089,38776,41526,36900,41200
Wilkes,34886,34954,35362,35895,33400,40600
Wilson,36645,37166,37440,40772,39300,41300
Yadkin,41095,40983,40012,40998,40800,41200
Yancey,36934,36440,36019,35866,36000,36400